Handle,Artikelnummer im Shop,EAN/GTIN,Produktname,Vendor,Kategorie,Subkategorie,Produktart,Variant,Preis (Brutto),Currency,Lieferzeit,Versandkosten,Inventory,Image URL,Produkt URL
love-moschino-dress-blue-woman,LH8-26779,8055204645030,Love Moschino Dress Blue Woman,Love Moschino,Clothing,Dresses,Women Dresses,Blue / 40,86.00,EUR,3-5 Werktage,4.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/634d023fb4998acd150583414f3d67dd_3f5f9a89-5da3-4ec4-9825-1a42c4f7866d.webp?v=1763719269,https://siebentaschen.com/products/love-moschino-dress-blue-woman
woolrich-men-cleveland-parka-jacket-black,CLEVELANDPARKA_BL3989-LH,8053000041605,"Woolrich ""Cleveland"" Down Parka Jacket Black",Woolrich,Clothing,Coats,Men Coats,Black / XXL,494.00,EUR,3-5 Werktage,0.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/black-cotton-woolrich-jacket-53349491-1_2.webp?v=1763718172,https://siebentaschen.com/products/woolrich-men-cleveland-parka-jacket-black
centogrammi-men-ultralight-hooded-down-jacket,BY-CE1878723-LH,2869321373781,Centogrammi Men Ultralight Hooded Down Jacket,Centogrammi,Clothing,Jackets,Men Jackets,Grey / M,129.00,EUR,3-5 Werktage,4.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/beige-polyamide-non-signe-unsigned-jacket-58955378-2_3.webp?v=1763719074,https://siebentaschen.com/products/centogrammi-men-ultralight-hooded-down-jacket
yes-zee-men-wool-green-down-jacket,YZ-36247-LH,8050716573130,Yes Zee Men Wool Green Down Jacket,Yes Zee,Clothing,Jackets,Men Jackets,Green / L,64.00,EUR,3-5 Werktage,4.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/large_1fbe3e07-ae3e-4bc0-ad02-61024c09b1bf.jpg?v=1763586100,https://siebentaschen.com/products/yes-zee-men-wool-green-down-jacket
tommy-hilfiger-alaska-black-polyester-women-puffer-jacket,DW0DW14661-LH,6894332101339,Tommy Hilfiger Alaska Black Polyester Women Puffer Jacket,Tommy Hilfiger,Clothing,Jackets,Women Jackets,M,118.00,EUR,3-5 Werktage,4.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/black-polyester-tommy-hilfiger-jacket-59004166-1_2_9dbd5e92-7a93-4abd-b7de-00f92f156c16.webp?v=1763723256,https://siebentaschen.com/products/tommy-hilfiger-alaska-black-polyester-women-puffer-jacket
dolce-gabbana-red-cotton-xoxo-polo-t-shirt,TSH84558-LH,4652786934520,Dolce & Gabbana Men's Red XOXO Print Polo Shirt,Dolce & Gabbana,Clothing,Polo Shirts,Men Polo Shirts,Red / IT50 | L,510.00,EUR,3-5 Werktage,0.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_17.webp?v=1777538671,https://siebentaschen.com/products/dolce-gabbana-red-cotton-xoxo-polo-t-shirt
jimmy-choo-gian-womens-black-satin-sandals,316903-LH,0196176650139,Jimmy Choo Platform Sandals,Jimmy Choo,Shoes,Sandals,Men Sandals,Black / 37,374.00,EUR,3-5 Werktage,0.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8339069.jpg?v=1763973184,https://siebentaschen.com/products/jimmy-choo-gian-womens-black-satin-sandals
dolce-gabbana-gray-wool-stretch-formal-slim-fit-pants,PAN74567-LH,8056454261506,Dolce & Gabbana Grey Stretch Formal Trousers,Dolce & Gabbana,Clothing,Trousers,Men Trousers,Grey / 54,127.00,EUR,3-5 Werktage,4.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/s-l1600_4.webp?v=1763974255,https://siebentaschen.com/products/dolce-gabbana-gray-wool-stretch-formal-slim-fit-pants
dolce-gabbana-brown-leather-fur-button-biker-coat-mens-jacket,DOLT4050-LH,2174363762437,Dolce & Gabbana Brown Leather Fur Button Biker Coat Men's Jacket,Dolce & Gabbana,Clothing,Jackets,Men Jackets,IT44 / Brown,1572.00,EUR,3-5 Werktage,0.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/8809424.webp?v=1764318839,https://siebentaschen.com/products/dolce-gabbana-brown-leather-fur-button-biker-coat-mens-jacket
baldinini-trend-men-wool-blue-suit,87480U_PISANO_1030BluScuro-LH,0714670857403,Baldinini Trend Men Wool Blue Suit,Baldinini Trend,Clothing,Suits,Men Suits,IT58 / Blue,196.00,EUR,3-5 Werktage,0.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/dce74c30-9c4f-11ef-817d-a3eaadeac006.jpg?v=1764323754,https://siebentaschen.com/products/baldinini-trend-men-wool-blue-suit
parajumpers-pharrell-hooded-bomber-jacket,67821_1273-LH,4251377932994,PARAJUMPERS Nero Hoody Bomber Jacket,Parajumpers,Clothing,Jackets,Men Jackets,nero / XL,412.00,EUR,3-5 Werktage,0.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/1223217_1.jpg?v=1765449902,https://siebentaschen.com/products/parajumpers-pharrell-hooded-bomber-jacket
baldinini-trend-womens-green-polyester-long-jacket,23W.EB.017_VENEZIA-LH,6876426220512,Baldinini Trend Women's Green Polyester Long Jacket,Baldinini Trend,Clothing,Jackets,Women Jackets,Green / M,125.00,EUR,3-5 Werktage,4.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/ab843100-82db-11ee-84a6-d5d67dd9f985.jpg?v=1765450851,https://siebentaschen.com/products/baldinini-trend-womens-green-polyester-long-jacket
yes-zee-womens-blue-quilted-coat-jacket,o045_m8ou-0710-LH,0236586639434,YES ZEE WOMEN'S BLUE QUILTED COAT JACKET,Yes Zee,Clothing,Jackets,Women Jackets,blu / XS,47.00,EUR,3-5 Werktage,4.00,1,https://cdn.shopify.com/s/files/1/0694/0862/0826/files/product-11208-1596339519.jpg?v=1765454764,https://siebentaschen.com/products/yes-zee-womens-blue-quilted-coat-jacket
